"i","j","rho","gini","o_bar","raw","gini","over","cw","oracle","seed"
6,9,0.266044685573899,0.180958631045429,0.0865969760942945,0.266044685573899,0.217901603475535,0.0230386652766571,0.0188696199470794,0.26604468557402,900000010
6,10,0.27686210891007,0.207698912556318,0.101991061624422,0.27686210891007,0.219358149961399,0.0282374604113143,0.0223725705905323,0.276862108910209,900000010
7,8,0.326568993146648,0.156204374485024,0.131037601350138,0.326568993146648,0.275557487845971,0.0427928175372663,0.0361083922414058,0.326568993146617,900000010
7,9,0.334966602954761,0.0909601845108035,0.109124162392684,0.334966602954761,0.304497978945039,0.036552949976961,0.0332280869026425,0.33496660295473,900000010
7,10,0.247921638712505,0.085276779669843,0.125907097247981,0.247921638712505,0.226779679752632,0.0312150938752542,0.0285531711924807,0.247921638712275,900000010
8,9,0.320271792052216,0.147825210506814,0.1171714771219,0.320271792052216,0.272927546972703,0.0375267189552361,0.0319793238260483,0.320271792052157,900000010
8,10,0.284940430412456,0.176213832325699,0.137889579732712,0.284940430412456,0.234729985184943,0.0392903161984315,0.0323668190078174,0.284940430412351,900000010
9,10,0.249413267592307,0.0681097404673754,0.118938030836119,0.249413267592307,0.232425794667475,0.029664722911831,0.0276442663332696,0.249413267592553,900000010
11,12,0.109916817140705,0.112983703652994,0.0750915050197005,0.109916817140705,0.0974980080463989,0.00825381922607073,0.00732127216062697,0.454939642017003,900000010
11,13,0.231103204510612,0.173592841249739,0.0711704446191579,0.231103204510612,0.190985342617695,0.0164477178179324,0.0135925117498436,0.515187432768987,900000010
11,14,0.148192397644075,0.122686039842295,0.0938308145435975,0.148192397644075,0.130011259242389,0.0139050133801122,0.0121990623545521,0.609578746861961,900000010
11,15,0.114610709728717,0.138422248167298,0.100350722907343,0.114610709728717,0.0987460376240183,0.0115012675742004,0.00990923625980589,0.658756848612273,900000010
12,13,0.237292266165757,0.214284957119616,0.081435294515006,0.237292266165757,0.186444103085611,0.0193239655813416,0.0151831304453629,0.520997997953758,900000010
12,14,0.199368252180371,0.144690826240723,0.0960152419895758,0.199368252180371,0.170521495046224,0.019142390978137,0.0163726626112874,0.573598067201659,900000010
12,15,0.0695991446723672,0.168212360374348,0.111635360289407,0.0695991446723672,0.0578917082669927,0.0077697255913343,0.00646276171015498,0.441734372087855,900000010
13,14,0.107816794846321,0.200564492735606,0.12749014605212,0.107816794846321,0.0861925740795901,0.0137455789218289,0.0109887038580151,0.537896571300897,900000010
13,15,0.143840156325792,0.203953984819734,0.103718883857673,0.143840156325792,0.114503383266053,0.0149189404680243,0.0118761631102824,0.565277125297939,900000010
14,15,0.238882567955089,0.19561363706516,0.0972164760085198,0.238882567955089,0.192153880005929,0.0232233214364595,0.0186805230655403,0.532478298713914,900000010
1,6,0.372038837811938,0.186626216518401,0.00948517328307395,0.372038837811938,0.302606637113193,0.00352885284467968,0.00287027638962692,0.916297513542492,900000010
2,7,0.190088980610849,0.176412172162245,-0.00299565363282218,0.190088980610849,0.156554970637182,0,0,0.955677772707043,900000010
3,8,0.230276690673422,0.147411674210932,0.0229506740090269,0.230276690673422,0.1963312181695,0.00528500525952325,0.00450593378600335,0.972415031392265,900000010
4,9,0.137510030719723,0.0626276278172853,-0.0509014912536965,0.137510030719723,0.128898103694665,0,0,0.853329469605968,900000010
5,10,0.198288058434605,0.173460994379992,-0.00550361291930045,0.198288058434605,0.16389281464486,0,0,0.968998041494753,900000010
6,11,0.26544930609626,0.190898531299556,0.032139777974987,0.26544930609626,0.214775423427998,0.00853148176154816,0.00690283442345966,0.885836186882817,900000010
1,2,0.294585081955955,0.152268625135097,0.142573195423988,0.294585081955955,0.249729016541212,0.0419999364586978,0.0356046638783704,0.294585081955963,900000011
1,3,0.255429177761319,0.0761177745761461,0.142350612745703,0.255429177761319,0.235986477188313,0.0363604999674547,0.033592819627456,0.255429177761493,900000011
1,4,0.270038350542291,0.0688995599149553,0.134406612011191,0.270038350542291,0.251432827029766,0.0362949398094796,0.0337942344294667,0.270038350542275,900000011
1,5,0.346477427134085,0.203382465772411,0.151543347667337,0.346477427134085,0.276009993669074,0.0525063491990651,0.041827478430252,0.346477427134153,900000011
2,3,0.24869239214961,0.148110521575339,0.140253929483291,0.24869239214961,0.211858432236513,0.0348800852315825,0.0297139776153405,0.248692392149663,900000011
2,4,0.165885720067219,0.166730182840797,0.134182101462877,0.165885720067219,0.138227563629734,0.0222588945213021,0.0185476649679314,0.165885720067263,900000011
2,5,0.41995149552368,0.291150381150381,0.153754565666694,0.41995149552368,0.297682457537288,0.0645694597953218,0.0457700369652396,0.419951495524106,900000011
3,4,0.308657393792613,0.0598254165099565,0.122017574002061,0.308657393792613,0.290191836650092,0.0376616263883735,0.0354085039032467,0.30865739379262,900000011
3,5,0.324836618679902,0.199329270485591,0.145088994991091,0.324836618679902,0.260087172451431,0.0471302185405711,0.0377357864610526,0.324836618679895,900000011
4,5,0.284427413863276,0.223544303797468,0.150465389643683,0.284427413863276,0.220845285650296,0.0427964816522831,0.0332295719563423,0.28442741386337,900000011
6,7,0.243146855832877,0.191674452392697,0.0887742293356377,0.243146855832877,0.196541815390104,0.0215851747419471,0.0174478481934837,0.243146855832772,900000011
6,8,0.210102724166034,0.23929123423725,0.0928891315930825,0.210102724166034,0.159826983983735,0.0195162595931239,0.0148461897473907,0.210102724166798,900000011
6,9,0.0820262595093374,0.183789575656372,0.094363170601507,0.0820262595093374,0.0669506880814368,0.00774025791988308,0.0063176792013169,0.0820262595104549,900000011
6,10,0.226681833328711,0.200311617819766,0.0918068367124411,0.226681833328711,0.181274828564286,0.0208109420580857,0.0166422685860772,0.226681833328722,900000011
7,8,0.156236402686412,0.164276691413137,0.104762872385558,0.156236402686412,0.130570403374798,0.0163677743166153,0.0136789305060848,0.156236402686699,900000011
7,9,0.241080295100795,0.129310217563559,0.0887314691966578,0.241080295100795,0.209906149691024,0.0213914087786574,0.0186252810554982,0.241080295100692,900000011
7,10,0.229630907593532,0.116685115665326,0.114673938182535,0.229630907593532,0.202836398580647,0.0263326805021801,0.0232600486320052,0.22963090759359,900000011
8,9,0.211698491970671,0.145616160057604,0.0974352397642942,0.211698491970671,0.180871770479916,0.0206268933229018,0.017623284323303,0.211698491967777,900000011
8,10,0.297368679018063,0.169399757750482,0.0916674703801298,0.297368679018063,0.246994496829822,0.0272590345758666,0.0226413607222028,0.297368679018117,900000011
9,10,0.234232411209823,0.0813947040983363,0.0982828615339766,0.234232411209823,0.21516713340916,0.0230210316377045,0.0211472415795151,0.234232411209813,900000011
11,12,0.0932627096823239,0.158091751849464,0.0843225419309502,0.0932627096823239,0.0785186445264173,0.00786414874778179,0.0066208916954402,0.405470912401409,900000011
11,13,0.0923475087676335,0.161397079212496,0.0947196645632269,0.0923475087676335,0.077442890579987,0.00874712505371989,0.00733536461854305,0.374355741187437,900000011
11,14,0.189146131324083,0.134828715736204,0.093084874621949,0.189146131324083,0.163643801351185,0.0176066439195289,0.0152327627314342,0.498383105085649,900000011
